"id","name","created_at","updated_at"
1,"ing-en-maquinaria-y-vehiculos-pesados",2023-09-22 04:17:12,2023-09-22 04:17:12
2,"ing-en-elect-y-autom-industrial",2023-09-22 04:17:12,2023-09-22 04:17:12
3,"tec-en-electricidad-y-autom-industrial",2023-09-22 04:17:12,2023-09-22 04:17:12
4,"tecen-mecanica-automotriz-y-autotronica",2023-09-22 04:17:12,2023-09-22 04:17:12
5,"ing-en-mecanica-autom-y-autotronica",2023-09-22 04:17:12,2023-09-22 04:17:12
6,"ingenieria-en-maquinaria-y-vehiculos-pes",2023-09-22 04:17:12,2023-09-22 04:17:12
7,"tecnico-en-energias-renovables",2023-09-22 04:17:12,2023-09-22 04:17:12
8,"tec-en-maquinaria-y-vehiculos-pesados",2023-09-22 04:17:12,2023-09-22 04:17:12
9,"ingenieria-en-conectividad-y-redes",2023-09-22 04:17:12,2023-09-22 04:17:12
10,"analista-programador-computacional",2023-09-22 04:17:12,2023-09-22 04:17:12
11,"ingenieria-en-informatica",2023-09-22 04:17:12,2023-09-22 04:17:12
12,"tecnico-de-enfermeria",2023-09-22 04:17:12,2023-09-22 04:17:12
13,"tecnico-en-odontologia",2023-09-22 04:17:13,2023-09-22 04:17:13
14,"tecnico-en-mantenimiento-electromecanico",2023-09-22 04:17:14,2023-09-22 04:17:14
15,"informatica-biomedica",2023-09-22 04:17:14,2023-09-22 04:17:14
16,"ingen-mecanica-automotriz-y-autotronica",2023-09-22 04:17:15,2023-09-22 04:17:15
17,"tecnico-en-electricidad-y-automindustri",2023-09-22 04:17:17,2023-09-22 04:17:17
18,"ingenieria-en-electricidad-y-automindus",2023-09-22 04:17:17,2023-09-22 04:17:17
19,"tec-en-radiodiagnostico-y-radioterapia",2023-09-22 04:17:18,2023-09-22 04:17:18
20,"tec-de-lab-clinico-y-banco-de-sangre",2023-09-22 04:17:19,2023-09-22 04:17:19
21,"tecnico-en-quimica-y-farmacia",2023-09-22 04:17:19,2023-09-22 04:17:19
22,"preparador-fisico",2023-09-22 04:18:50,2023-09-22 04:18:50
23,"tecnico-veterinario-y-pecuario",2023-09-22 04:18:51,2023-09-22 04:18:51
24,"tecnico-en-geomatica",2023-09-22 04:18:51,2023-09-22 04:18:51
25,"tecnico-en-geologia-y-control-de-sondaje",2023-09-22 04:18:51,2023-09-22 04:18:51
26,"tecnico-en-calidad-de-alimentos",2023-09-22 04:18:51,2023-09-22 04:18:51
27,"tecnico-agricola",2023-09-22 04:18:51,2023-09-22 04:18:51
28,"ingenieria-en-medio-ambiente",2023-09-22 04:18:51,2023-09-22 04:18:51
29,"ingenieria-agricola",2023-09-22 04:18:51,2023-09-22 04:18:51
30,"adminde-infraest-y-plataformas-tecn",2023-09-22 04:18:52,2023-09-22 04:18:52
31,"admin-de-redes-y-telecomunicaciones",2023-09-22 04:18:52,2023-09-22 04:18:52
32,"tecnico-en-construccion",2023-09-22 04:18:53,2023-09-22 04:18:53
33,"ingenieria-en-prevencion-de-riesgos",2023-09-22 04:18:53,2023-09-22 04:18:53
34,"ingenieria-en-construccion",2023-09-22 04:18:53,2023-09-22 04:18:53
35,"tecnico-en-marketing",2023-09-22 04:18:53,2023-09-22 04:18:53
36,"tecnico-en-gestion-de-personas",2023-09-22 04:18:53,2023-09-22 04:18:53
37,"auditoria",2023-09-22 04:18:53,2023-09-22 04:18:53
38,"ingen-administracion-mencion-marketing",2023-09-22 04:18:53,2023-09-22 04:18:53
39,"ingenieria-en-gestion-logistica",2023-09-22 04:18:53,2023-09-22 04:18:53
40,"administ-de-redes-y-telecomunicaciones",2023-09-22 04:18:53,2023-09-22 04:18:53
41,"tecnico-en-finanzas",2023-09-22 04:18:54,2023-09-22 04:18:54
42,"ingenieria-en-marketing",2023-09-22 04:18:54,2023-09-22 04:18:54
43,"ingenieria-en-administracion-de-rrhh",2023-09-22 04:18:54,2023-09-22 04:18:54
44,"ingen-adminmencion-gestion-de-personas",2023-09-22 04:18:54,2023-09-22 04:18:54
45,"ing-en-administracion-mencion-finanzas",2023-09-22 04:18:54,2023-09-22 04:18:54
46,"contabgeneral-mencion-legis-tributaria",2023-09-22 04:18:54,2023-09-22 04:18:54
