"id","day","classroom","times","created_at","updated_at"
1,"jueves","sj-211","Ju 21:11:00 - 22:30:00",2023-09-22 04:17:12,2023-09-22 04:17:12
2,"sabado","sj-211","Sa 11:31:00 - 12:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
3,"lunes","sj-502","Lu 19:01:00 - 20:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
4,"sabado","sj-502","Sa 8:31:00 - 9:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
5,"sabado","sj-511","Sa 13:01:00 - 14:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
6,"jueves","sj-602","Ju 19:01:00 - 20:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
7,"martes","sj-603","Ma 19:01:00 - 20:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
8,"lunes","sj-709","Lu 21:11:00 - 22:30:00",2023-09-22 04:17:12,2023-09-22 04:17:12
9,"sabado","sj-709","Sa 10:01:00 - 11:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
10,"en-linea","online","0:00:00 - 0:00:00",2023-09-22 04:17:12,2023-09-22 04:17:12
11,"sabado","sj-604","Sa 13:01:00 - 13:40:00",2023-09-22 04:17:12,2023-09-22 04:17:12
12,"sabado","sj-604","Sa 12:11:00 - 12:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
13,"jueves","sj-603","Ju 20:31:00 - 21:10:00",2023-09-22 04:17:12,2023-09-22 04:17:12
14,"jueves","sj-603","Ju 19:01:00 - 20:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
15,"miercoles","sj-602","Mi 19:01:00 - 20:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
16,"viernes","sj-203","Vi 11:31:00 - 12:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
17,"viernes","sj-203","Vi 10:41:00 - 11:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
18,"lunes","sj-201","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
19,"lunes","sj-201","Lu 10:41:00 - 11:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
20,"sabado","sj-201","Sa 8:31:00 - 9:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
