"id","name","code","level","created_at","updated_at"
1,"portafolio-de-titulo","pts5103",5,2023-09-26 19:57:13,2023-09-26 19:57:13
2,"internado","pps5103",5,2023-09-26 19:57:13,2023-09-26 19:57:13
3,"proceso-de-portafolio-3","aps3510",3,2023-09-26 19:57:13,2023-09-26 19:57:13
4,"portafolio-de-titulo","pts5085",5,2023-09-26 19:57:13,2023-09-26 19:57:13
5,"internado","pps5085",5,2023-09-26 19:57:13,2023-09-26 19:57:13
6,"proceso-de-portafolio-3","aps3508",3,2023-09-26 19:57:13,2023-09-26 19:57:13
7,"portafolio-de-titulo","pts5015",5,2023-09-26 19:57:13,2023-09-26 19:57:13
8,"internado","pps5015",5,2023-09-26 19:57:13,2023-09-26 19:57:13
9,"proceso-de-portafolio-3","aps3501",3,2023-09-26 19:57:13,2023-09-26 19:57:13
10,"proceso-de-portafolio-final","ps31503",3,2023-09-26 19:57:13,2023-09-26 19:57:13
11,"proceso-de-portafolio-final","ps31502",3,2023-09-26 19:57:13,2023-09-26 19:57:13
12,"practica-profesional","pps5075",5,2023-09-26 19:57:13,2023-09-26 19:57:13
13,"proceso-de-portafolio-3","aps3507",3,2023-09-26 19:57:13,2023-09-26 19:57:13
14,"practica-profesional","pps5071",5,2023-09-26 19:57:13,2023-09-26 19:57:13
15,"practica-profesional","ppr8909",5,2023-09-26 19:57:13,2023-09-26 19:57:13
16,"proceso-de-portafolio-3","apr3890",0,2023-09-26 19:57:13,2023-09-26 19:57:13
17,"practica-profesional","ppr8900",5,2023-09-26 19:57:13,2023-09-26 19:57:13
18,"practica-profesional","ppr7862",5,2023-09-26 19:57:13,2023-09-26 19:57:13
19,"practica-profesional","ppr7852",5,2023-09-26 19:57:13,2023-09-26 19:57:13
20,"proceso-de-portafolio-3","apr3785",3,2023-09-26 19:57:13,2023-09-26 19:57:13
21,"practica-profesional","ppr7843",5,2023-09-26 19:57:13,2023-09-26 19:57:13
22,"proceso-de-portafolio-3","apr3784",3,2023-09-26 19:57:13,2023-09-26 19:57:13
23,"practica-profesional","ppr8895",5,2023-09-26 19:57:13,2023-09-26 19:57:13
24,"proceso-de-portafolio-3","apr3889",3,2023-09-26 19:57:13,2023-09-26 19:57:13
25,"practica-profesional","ppr5889",5,2023-09-26 19:57:13,2023-09-26 19:57:13
26,"proceso-de-portafolio-final","pr71781",7,2023-09-26 19:57:13,2023-09-26 19:57:13
